Team,Year,Player,GP,MIN,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,Position,Drafted,Height,Weight,stdyearposppg,stdyearposrpg,stdyearposapg,stdyearposspg,stdyearposbpg,stdyearpostpg,stdyearposfg,stdyearposft,stdyearpos3p,stdyearpossum
Iowa State,2014,Mont Morris,36,28.1,6.8,2.6,3.7,1.3,0.2,0.8,0.43,0.847,0.406,G,N,74,170,-0.869018787,-0.454901536,0.460843492,0.38321711,0.114894268,-1.064956505,0.010941121,1.064946078,0.471872965,2.247751216
Ohio State,2011,Jared Sullinger,37,31.7,17.2,10.2,1.2,1,0.5,1.6,0.541,0.704,0.25,PF,N,81,260,1.240258918,1.30229929,-0.482699076,0.994671795,-1.443653132,-0.020956487,-0.116741681,0.53698182,0.162764771,2.214839193
San Diego State,2011,Chase Tapley,34,25.5,8.6,2.4,1.9,1.3,0.2,1.3,0.485,0.828,0.38,G,N,75,195,-0.157951419,-0.437797518,-0.760537892,0.428588314,0.409622097,-0.163907509,1.320976308,0.904667118,0.319826228,2.191300746
New Mexico,2013,Hugh Greenwood,35,28.5,7,5,2.4,1.3,0.5,1.3,0.413,0.607,0.357,G,N,75,205,-0.711631162,1.867068187,-0.305394285,0.697589432,2.272495604,-0.476902212,-0.276321348,-1.822122925,-0.023494574,2.175091141
New Mexico,2013,Hugh Greenwood,35,28.5,7,5,2.4,1.3,0.5,1.3,0.413,0.607,0.357,G,N,75,205,-0.711631162,1.867068187,-0.305394285,0.697589432,2.272495604,-0.476902212,-0.276321348,-1.822122925,-0.023494574,2.175091141
Duke,2014,Rodney Hood,35,32.9,16.1,3.9,2.1,0.7,0.3,1.5,0.464,0.807,0.42,SG,Y,80,215,0.536033189,0.461008974,-0.211983173,-0.503952631,-0.561769006,-0.248547906,0.675847114,0.437258991,1.081936128,2.162927493
Kansas,2011,Tyrel Reed,38,28.7,9.7,3.1,1.7,1.5,0.2,0.9,0.408,0.798,0.379,G,N,75,193,0.159877656,0.228416096,-1.005872696,0.776092353,0.409622097,-1.256624239,-0.560315475,0.580800608,0.306895248,2.152140128
Kansas,2015,Perry Ellis,34,28.8,13.8,6.9,1.2,0.8,0.7,1.7,0.457,0.73,0.391,F,N,80,225,0.906671028,0.747965971,-0.076471911,0.592532353,-0.194451266,0.358560242,-1.068001722,0.479915219,1.113105441,2.142704871
Ohio State,2012,Jared Sullinger,37,30.4,17.5,9.2,1.2,1.2,1.1,1.9,0.519,0.768,0.4,PF,Y,81,260,1.317687888,0.342315119,-0.77050426,0.569304086,-0.408958906,0.18156826,0.050988383,0.604161494,0.554709963,2.078135509
Baylor,2012,Pierre Jackson,38,30.8,13.8,2.9,5.9,1.8,0.1,3.5,0.46,0.822,0.408,PG,N,70,176,0.841777719,0.233490728,0.079577237,0.39646411,-1.069044968,1.347403273,0.221138408,1.531201818,1.167306465,2.054508247
Missouri,2012,Phil Pressey,35,32.1,10.3,3.3,6.4,2.1,0.1,2.4,0.428,0.775,0.365,PG,N,71,175,-0.330015129,1.323114128,0.332777537,0.916823254,-1.069044968,-0.686911472,-0.78978003,0.628396445,0.316557686,2.015740396
Ohio State,2011,David Lighty,37,32.1,12.1,4,3.3,1.5,0.5,1.6,0.468,0.627,0.429,SG,N,77,220,0.353025193,0.055726295,1.636988855,1.440826288,0,0.722721034,0.447554294,-1.760152458,0.476300873,1.927548306
Duke,2015,Tyus Jones,39,33.9,11.8,3.5,5.6,1.5,0.1,1.9,0.417,0.889,0.379,PG,Y,73,190,-0.200606049,0.914991422,0.190885429,0.277350098,-0.800640769,-7.40149E-16,-0.145497681,1.148867589,0.523313758,1.908663796
Wichita State,2014,Tekele Cotton,36,30.1,10.3,4,2.4,1.4,0.3,1.1,0.452,0.692,0.371,G,N,75,205,0.206909235,0.491293659,-0.488943705,0.609663584,0.71234446,-0.518465667,0.706310113,-0.755899359,-0.117159131,1.882984523
